creator_id,creator_name,player_id,player_tag,country,country_iso2,twitter,youtube,twitch,tiktok,instagram
c001385,Natsuki Sel,21400,YU92C9CJ,Spain,ES,https://twitter.com/NatsukiSel,https://www.youtube.com/channel/UCRiGedxHE3T88lTJpN7yQhQ,https://www.twitch.tv/natsukisel,https://www.tiktok.com/@natsuki_sel,
c001388,NeverSayYes,18976,J8Y89L0RR,France,FR,https://twitter.com/NeverSayYespog,https://www.youtube.com/channel/UCTGNHAopB98ynrEUBTHSAGw,https://www.twitch.tv/neversayyestwitch,,
c001390,Nicovald,20991,YJ09UU9,Canada,CA,https://twitter.com/nicovald,https://www.youtube.com/channel/UCLvY3sOzYysvv5TCUsPxcIg,https://www.twitch.tv/nicovald,https://www.tiktok.com/@nicovald,
c001391,Nikof,17206,C2QL0RCV2,France,FR,https://twitter.com/Nikof,https://www.youtube.com/channel/UCvy0lGHrAq3x4FukefHoJFQ,https://www.twitch.tv/nikof,,
c001393,Nogla,18989,UPVCRQQLL,United States,US,https://twitter.com/DaithiDeNogla,https://www.youtube.com/channel/UCvPW1W4WlpTgNezZzwIstLA,https://www.twitch.tv/nogla,https://www.tiktok.com/@daithidetiktok,
c001399,P0me,20989,V2L8CV0QC,Argentina,AR,https://twitter.com/p0melaus,https://www.youtube.com/channel/UC_sTNLbMJqIQ8p9tSZ4RAkQ,https://www.twitch.tv/p0me,https://www.tiktok.com/@p0me,
c001402,Peereira7,18972,Y29QCYGU,Spain,ES,https://twitter.com/Peereira7,https://www.youtube.com/channel/UCOBtOqxsioUI-fFykO2I4BQ,https://www.twitch.tv/peereira7,,
c001404,PokeR,21387,PJRUPV8C,Spain,ES,https://twitter.com/PokeR988HD,https://www.youtube.com/channel/UCXJkLU1wZVqZjjVe1MuRj-A,https://www.twitch.tv/poker988hd,https://www.tiktok.com/@poker988tv,https://www.instagram.com/poker_official/
c001409,RebeuDeter,17361,J2PJC0CV9,France,FR,https://twitter.com/RebeuDeter,https://www.youtube.com/channel/UCWDyxFXoK_nPWfaw6f_sspw,https://www.twitch.tv/rebeudeter,https://www.tiktok.com/@rebeudeter,
c001411,Rivers,20947,UQYCQ8LL8,Mexico,MX,https://twitter.com/samyriveratv,https://www.youtube.com/channel/UCW3bX8K5LuQHw8cKc3U8iUg,https://www.twitch.tv/rivers_gg,https://www.tiktok.com/@rivers.gg,
c001413,Robleis,17077,LVJ8J89G,Argentina,AR,https://twitter.com/Robleis01,https://www.youtube.com/channel/UCG8eSYvOQUpb9HM8zU5d6xg,https://www.twitch.tv/robleis,https://www.tiktok.com/@robleisiutu,
c001414,Rociodta,20949,JG08UCPJU,Mexico,MX,https://twitter.com/rociodta,https://www.youtube.com/channel/UCLZnW5uA7lMGogr1zI09c8A,https://www.twitch.tv/rociodta,https://www.tiktok.com/@rociodta,
c001417,Rubinho,21385,YJCLR0C2,Spain,ES,https://twitter.com/RubinhoDeejay,https://www.youtube.com/channel/UCGjETdt4PobqegtvuWRid5A,https://www.twitch.tv/rubinhoytb,,
c001418,Rubius,21052,JJG82GUJ,Spain,ES,https://twitter.com/Rubiu5,https://www.youtube.com/channel/UCXazgXDIYyWH-yXLAkcrFxw,https://www.twitch.tv/rubius,https://www.tiktok.com/@rubius,
c001420,Rushlai,18947,2PCVQCVJC,Argentina,AR,https://twitter.com/rushlaiyt,https://www.youtube.com/channel/UCIMMA493ctb3oJAGsblaziA,https://www.twitch.tv/rushlaigg,,https://www.instagram.com/rushlai.gg/
c001428,Seinhor9,21356,YQLG9V00,France,FR,https://twitter.com/Seinhor9YTB,https://www.youtube.com/channel/UC3sLHXON7yCP66CN5--2m1g,https://www.twitch.tv/seinhor9,https://www.tiktok.com/@seinhor9ytb,
c001429,Shariin,21408,8PYP89UG,Brazil,BR,https://twitter.com/shariin_h,https://www.youtube.com/channel/UC5J5QsKmeOLSdeiRVESPtSA,https://www.twitch.tv/shariin3d,https://www.tiktok.com/@shariin,
c001433,Sigils,20992,9RRPJY9P,United States,US,https://twitter.com/sigils,https://www.youtube.com/channel/UC8opYphJsG9nFLMIUoAtEVA,https://www.twitch.tv/sigils,https://www.tiktok.com/@sigils,
c001434,Sinapsis,21394,YJLQGCP0,Spain,ES,https://twitter.com/TehSinapsis,https://www.youtube.com/channel/UC8KI7y5KeFJa6vLJrAShTfg,https://www.twitch.tv/sinapsisyt,https://www.tiktok.com/@tehsinapsis,
c001436,Spreen,18981,CCRCQ0RGJ,Argentina,AR,https://twitter.com/SpreenDMC,https://www.youtube.com/channel/UCgTOIiEgjm58xLjHvDjmgdA,https://www.twitch.tv/elspreen,https://www.tiktok.com/@spreenbro,
c001437,SSundee,20990,9VR0VQV8,United States,US,https://twitter.com/SSundee,https://www.youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg,https://www.twitch.tv/ssundeegames,https://www.tiktok.com/@ssundee,
c001439,Staryuuki,18979,GUJPRCPGJ,Cuba,CU,https://twitter.com/staryuukiii,https://www.youtube.com/channel/UCGaTHmQXJhpvknhpVE2nGbA,https://www.twitch.tv/staryuuki,https://www.tiktok.com/@staryuukiii,
c001441,Synergy,18904,9YGJJC82,United States,US,https://twitter.com/SynergyClash,https://www.youtube.com/channel/UC_o7ssvRg2cpnkvqQGPGMSg,,,
c001443,Taspio,18977,Q9VV8LRV8,Brazil,BR,https://twitter.com/taspiio,https://www.youtube.com/channel/UCUp6wodtd6vPPj1ZmFfVoIQ,https://www.twitch.tv/taspio,https://www.tiktok.com/@txspio,
c001447,TheDonato,17072,R02GVLURG,Argentina,AR,https://twitter.com/TheDonatoYoutub,https://www.youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ,https://www.twitch.tv/thedonatoyoutube,https://www.tiktok.com/@thedonato,
c001448,TheExaL04,17102,PUYUC8RYQ,Spain,ES,https://twitter.com/TheExaL04,https://www.youtube.com/channel/UCSblay-r16Uf-N-MIJ6X3Gw,https://www.twitch.tv/theexal04,https://www.tiktok.com/@theexal04_official,
