season_id,season_code,season_index,rank,player_name,player_tag,score,player_level,clan_name,clan_tag
103,2023-04,141,141,ISR Itsik™️,LVYJGJJP8,2839,49,Hebrew Hammer™,2JPPJQ
103,2023-04,142,142,SK Morten,R09228V,2833,50,Magenta Etrophy,Q90YLYL2
103,2023-04,143,143,ForceMortar,Y28LGLQ,2832,50,La Familia,LRJUQ2RP
103,2023-04,144,144,Takina✨,CRLPUCLLQ,2831,50,CR少年集中营,LG0PV0JG
103,2023-04,145,145,goblin2elixir,2Q8JV0GQ0,2830,44,,
103,2023-04,146,146,Venom,2L0VJG02,2830,50,,
103,2023-04,147,147,TRB Boeufmac,YJ992YP0Q,2827,50,March Madness,Q2P2YJR0
103,2023-04,148,148,SK Faust,R0UC9VR2V,2827,50,Magenta Etrophy,Q90YLYL2
103,2023-04,149,149,CHN丨Romain✨,2QCPVQC0Y,2825,50,Lomis Love ❤️❤️,QPP8Q9C9
103,2023-04,150,150,Andrin.wz,LPVJJCQL,2825,50,push to 2.8,QVUGCVRJ
103,2023-04,151,151,Kodin’t,2LV9VRY8G,2824,50,,
103,2023-04,152,152,すずかもね？,JPCRVGLY,2822,50,かぐや様は告らせたい,PQGQJRVC
103,2023-04,153,153,えるさ,PCPG0Y9UP,2820,50,ままの小さな宝もの,LQ2P2C90
103,2023-04,154,154,❦ずみ❦,RVCGQYY8,2819,50,Nova I Aryayi,9CCJ2R02
103,2023-04,155,155,M4ke,9RGYLVQ,2819,50,NC Finland,8LP0Y9YP
103,2023-04,156,156,Quinoa,CC9VUCLV,2817,50,,
103,2023-04,157,157,Zolag,9CGU002R,2817,50,push to 2.8,QVUGCVRJ
103,2023-04,158,158,ㄔㄓ. KYUREM☪♒︎,RRRR89LJC,2816,49,Robert's Army™,9PV2VGVY
103,2023-04,159,159,GrAnD x10Vitt_,2R0CQ9G9P,2816,50,Vengeance,PQRUQJ
103,2023-04,160,160,CHI Pompeyo4,YP9VPGUUG,2815,50,Clanpeyo,P9GRQ89P
103,2023-04,161,161,CAL RUBÉN,LPRR9P,2815,50,@SHLeague_GG,Q9YR202U
103,2023-04,162,162,りとすのすてぃお☃︎,8GCCJQ2L0,2813,50,GRAPE,P222UJUY
103,2023-04,163,163,SamLeConquerant,9U92YG82,2812,50,Cthulhu eSports,82Q0VRRU
103,2023-04,164,164,Герыч Оксанович,CPYJ02PPC,2812,47,(;LIGHT MOON;),JCGLU
103,2023-04,165,165,#Secret player,9P290J00J,2811,50,Ballin,QR98PPV2
103,2023-04,166,166,ちゃす,9RQYUU8RJ,2810,50,ある,LLVVLV8P
103,2023-04,167,167,举头三尺看欣欣,282R8UYG0,2810,50,Samurai Army,G800YJGY
103,2023-04,168,168,LBDP✨FranN,80CVCPYUR,2809,50,QLASH,Q0C0VQPP
103,2023-04,169,169,タナトス,9R2YQY292,2809,50,The Neetles,YQLR8VUP
103,2023-04,170,170,☻Lavish☻,R2QQGGQ0R,2809,42,ㅤㅤ ㅤㅤ,Q9YGU0PU
